pattern_id,pattern_type,k_count,pattern_data,severity,class_id,location_bucket,time_window_days,recommended_actions,created_at
PAT001,temporal,12,"{""peak_stress_time"": ""Monday_morning"", ""stress_level"": ""high"", ""affected_hours"": [8, 9, 10]}",high,CS101,Building_A_Floor_2,7,"[""Schedule wellness sessions on Monday mornings"", ""Provide stress management workshops"", ""Adjust class schedule""]",2024-08-20T10:00:00Z
PAT002,academic,8,"{""topic"": ""Data Structures"", ""comprehension_issues"": [""arrays"", ""linked_lists""], ""avg_score"": 65.5}",medium,CS102,Building_B_Floor_1,14,"[""Additional tutoring sessions"", ""Peer study groups"", ""Practice problems""]",2024-08-21T14:00:00Z
PAT003,risk,15,"{""risk_transition"": ""L1_to_L2"", ""trigger_factors"": [""exam_period"", ""assignment_deadlines""]}",medium,MATH101,Building_A_Floor_3,7,"[""Early intervention programs"", ""Study schedule optimization"", ""Stress management workshops""]",2024-08-22T09:00:00Z
PAT004,social,10,"{""isolation_indicators"": true, ""social_engagement"": ""low"", ""peer_interaction"": 2.3}",medium,PSYC101,Building_C_Floor_1,10,"[""Group activities"", ""Peer mentoring programs"", ""Social skills workshops""]",2024-08-22T16:00:00Z
PAT005,environmental,7,"{""infrastructure_issues"": [""wifi_connectivity"", ""classroom_temperature""], ""location"": ""Building_D""}",low,CS101,Building_D_Floor_2,14,"[""Infrastructure improvements"", ""Alternative study spaces"", ""Technical support""]",2024-08-23T11:00:00Z
PAT006,temporal,18,"{""peak_productivity_time"": ""afternoon"", ""focus_score"": 8.5, ""completion_rate"": 92}",low,ART101,Building_E_Floor_1,7,"[""Schedule important sessions in afternoon"", ""Optimize class timing""]",2024-08-23T15:00:00Z
PAT007,academic,6,"{""topic"": ""Calculus"", ""difficulty_spike"": ""integration"", ""dropout_risk"": ""medium""}",high,MATH102,Building_A_Floor_4,14,"[""Prerequisite review sessions"", ""Math support center"", ""One-on-one tutoring""]",2024-08-24T10:00:00Z
PAT008,risk,13,"{""wellness_engagement"": ""high"", ""action_completion"": 85, ""improvement_trend"": ""positive""}",low,PSYC301,Building_C_Floor_2,21,"[""Continue current interventions"", ""Peer support expansion"", ""Success story sharing""]",2024-08-24T14:00:00Z
PAT009,social,9,"{""mentorship_effectiveness"": ""high"", ""sahayak_rating"": 4.7, ""session_completion"": 90}",low,BUSI101,Building_B_Floor_3,14,"[""Expand mentorship program"", ""Mentor training enhancement"", ""Recognition programs""]",2024-08-25T09:00:00Z
PAT010,environmental,11,"{""study_space_utilization"": ""high"", ""noise_levels"": ""moderate"", ""resource_availability"": ""good""}",low,ENG101,Building_A_Floor_1,7,"[""Maintain current conditions"", ""Monitor capacity"", ""Equipment maintenance""]",2024-08-25T13:00:00Z
PAT011,temporal,14,"{""weekend_study_pattern"": ""irregular"", ""motivation_drop"": ""Saturday_evening""}",medium,CS201,Building_B_Floor_2,14,"[""Weekend study groups"", ""Motivation workshops"", ""Flexible scheduling""]",2024-08-26T10:00:00Z
PAT012,academic,5,"{""language_barrier"": ""technical_terms"", ""english_proficiency"": ""intermediate"", ""comprehension_gap"": 25}",high,CS401,Building_D_Floor_3,21,"[""Multilingual resources"", ""Language support sessions"", ""Simplified explanations""]",2024-08-26T15:00:00Z
