student_id,age_band,language_pref,interests,enrollment_date,data_consent,anonymous_sharing,retention_period
STU001,18-20,English,coding|music|reading,2024-01-15,true,true,90
STU002,20-22,Hindi,sports|art|photography,2024-01-20,true,true,90
STU003,18-20,Bengali,dance|cooking|movies,2024-01-25,true,false,60
STU004,20-22,English,gaming|technology|science,2024-02-01,true,true,90
STU005,22-24,Hindi,literature|writing|poetry,2024-02-05,true,true,120
STU006,18-20,English,mathematics|physics|astronomy,2024-02-10,true,true,90
STU007,20-22,Bengali,music|instruments|singing,2024-02-15,false,true,30
STU008,24+,English,business|entrepreneurship|finance,2024-02-20,true,true,90
STU009,18-20,Hindi,drawing|painting|sketching,2024-02-25,true,true,90
STU010,20-22,English,travel|languages|culture,2024-03-01,true,false,60
STU011,22-24,Bengali,history|politics|debate,2024-03-05,true,true,90
STU012,18-20,English,fitness|yoga|meditation,2024-03-10,true,true,90
STU013,20-22,Hindi,robotics|ai|machine_learning,2024-03-15,true,true,90
STU014,24+,English,journalism|media|communication,2024-03-20,true,true,90
STU015,18-20,Bengali,nature|environment|sustainability,2024-03-25,true,true,90
STU016,20-22,English,psychology|philosophy|sociology,2024-04-01,true,false,60
STU017,22-24,Hindi,fashion|design|creativity,2024-04-05,true,true,90
STU018,18-20,English,anime|manga|japanese_culture,2024-04-10,false,true,30
STU019,20-22,Bengali,agriculture|farming|biology,2024-04-15,true,true,90
STU020,24+,English,economics|statistics|data_science,2024-04-20,true,true,90
STU021,18-20,Hindi,cricket|football|sports_analytics,2024-04-25,true,true,90
STU022,20-22,English,space|research|exploration,2024-05-01,true,true,90
STU023,22-24,Bengali,social_work|volunteering|community,2024-05-05,true,false,60
STU024,18-20,English,cybersecurity|ethical_hacking|privacy,2024-05-10,true,true,90
STU025,20-22,Hindi,medicine|healthcare|biology,2024-05-15,true,true,90
STU026,24+,English,teaching|education|mentoring,2024-05-20,true,true,90
STU027,18-20,Bengali,photography|videography|editing,2024-05-25,true,true,90
STU028,20-22,English,blockchain|cryptocurrency|fintech,2024-06-01,true,true,90
STU029,22-24,Hindi,law|legal_studies|justice,2024-06-05,false,true,30
STU030,18-20,English,mobile_development|apps|ui_design,2024-06-10,true,true,90
STU031,20-22,Bengali,theater|acting|drama,2024-06-15,true,false,60
STU032,24+,English,project_management|leadership|strategy,2024-06-20,true,true,90
STU033,18-20,Hindi,chemistry|lab_work|research,2024-06-25,true,true,90
STU034,20-22,English,web_development|javascript|react,2024-07-01,true,true,90
STU035,22-24,Bengali,mental_health|counseling|therapy,2024-07-05,true,true,90
STU036,18-20,English,renewable_energy|solar|wind,2024-07-10,true,true,90
STU037,20-22,Hindi,content_creation|youtube|blogging,2024-07-15,true,false,60
STU038,24+,English,consulting|problem_solving|analysis,2024-07-20,true,true,90
STU039,18-20,Bengali,archaeology|history|excavation,2024-07-25,true,true,90
STU040,20-22,English,artificial_intelligence|deep_learning|nlp,2024-08-01,true,true,90
